,genes,TE.random.blood,pval.random.blood,tau2.blood,I2.blood,pval.Q.blood,num_exp.blood,qval.random.blood,qval.Q.blood,TE.random.lung,pval.random.lung,tau2.lung,I2.lung,pval.Q.lung,num_exp.lung,qval.random.lung,qval.Q.lung,TE.median
1,TCEAL2,-0.144166566960795,0.000198595193293303,2.89936656670866e-06,0,0.531489058773492,5,0.0064259393229019,0.656061218121779,-0.214832465256153,0.000168169635554366,0.0091617301423201,0.388737953776341,0.108868329712121,9,0.0168358041370132,0.149906756703821,-0.179499516108474
2,MYBBP1A,-0.115778846403728,0.00158604988668049,0.00239919801522951,0.301622287220532,0.220439083616129,5,0.0286669633439419,0.377731126061396,-0.0991078619233334,0.000759372239932521,0.00230730620478788,0.191444561369486,0.266838896431881,10,0.0437264296726777,0.32277258870009,-0.107443354163531
3,GADD45G,0.10781303918161,0.000178923753247889,4.58336229702708e-06,0,0.792559278217226,5,0.00592281353547044,0.849993459602389,-0.169705868542628,0.000808309840412347,0.00576632938536951,0.377435251659593,0.106993540948779,10,0.0452147346339879,0.147670794718334,-0.030946414680509
4,BLOC1S1,0.135009701038579,2.17752480038436e-05,0.000659202959554972,0.345181130003205,0.191186348171117,5,0.00132172860594083,0.345081339435553,-0.168432919092815,0.000772941726114674,0.00779622382345957,0.343053368198674,0.143456143554231,9,0.0442093657126791,0.19004866986234,-0.016711609027118
5,TTC39C,-0.159501370420129,6.44612478007063e-09,1.19352680798431e-06,0.212345594807904,0.279350420762032,5,3.19145307936678e-06,0.437445164284501,0.129993130160973,3.84651284471351e-08,5.63388993958432e-06,0,0.446529311554917,9,3.09349384681343e-05,0.499903146020393,-0.014754120129578
6,RASA3,-0.109370406837551,1.09622740962708e-05,5.21290098822857e-06,0.257734295365153,0.249668699806255,5,0.000767415211989874,0.40874392689517,0.104209424884247,0.00015062447170201,1.6975587226505e-06,0.231262577288234,0.237634378669396,9,0.0155304129433949,0.29253557090446,-0.002580490976652
7,PRIM2,-0.0763554051442531,0.00247111586564979,4.42743471206952e-05,0.392302823935677,0.159682667069571,5,0.039267426244063,0.308105398334094,0.0754246581814996,0.000536932358618315,1.56040403306104e-06,0,0.469220727195438,11,0.0349179703945663,0.5216518516747,-0.000465373481376749
8,SH3BP5L,0.0857127019319845,0.00165819221118327,0,0.017389317876714,0.396510465944307,5,0.0297295342644651,0.544481216163322,-0.0861766517818386,0.000785444668758395,0.00106501350229596,0,0.516155937366664,9,0.0445892318191383,0.565775943884671,-0.000231974924927048
9,ST8SIA4,0.083936269772297,0.000316623382411886,2.19648297565354e-06,0.307702589845148,0.216363096966447,5,0.00899171019588917,0.37304476546313,0.143736097812064,0.000650932393192351,0.00600518065436902,0.342113550997465,0.124931907424594,11,0.0396592066933128,0.168997091861021,0.11383618379218
10,BDKRB2,0.0619220868468225,0.00274339504957601,0,0.328940418902356,0.202100799262107,5,0.0420180144510723,0.357195488946596,0.18176685757502,9.33488625985001e-05,0,0,0.632693887659665,11,0.011432629481797,0.67520370787176,0.121844472210921
11,ADORA2B,0.141925708813583,0.00143924890392513,0.000394568154664737,0.192856655731712,0.291868112699978,5,0.0266891043361892,0.448285010915869,0.102553985516511,0.000937028983149233,0,0,0.708521667511626,11,0.049613293119777,0.744469221847095,0.122239847165047
12,PTAFR,0.139827383299132,1.09761051929971e-06,0,0,0.677868813413628,5,0.000130736548027777,0.768013035940431,0.156394201932045,2.67142801684359e-05,0,0.0289682561724202,0.414721683272875,11,0.00480996595241681,0.468752461928448,0.148110792615589
13,MAP2K6,0.15311152958014,5.53652892459493e-06,1.70571562061008e-06,0.393688880266978,0.15876365432975,5,0.000460551787648541,0.306906455118406,0.145984416253134,4.17574028284624e-09,2.26616710550679e-06,0.31837262767652,0.144533846841126,11,5.45364063805322e-06,0.191297828884516,0.149547972916637
14,CYBB,0.160067296666494,9.40148450917702e-07,0,0,0.581778058837813,5,0.000117071273616852,0.694097290817606,0.185083488565089,1.03497497695201e-06,0.000933415582523579,0,0.661914914403722,10,0.000445907879802163,0.702040669061834,0.172575392615791
15,OAF,0.103777044974914,0.00155285498138821,0,0,0.638366921769873,5,0.0281852781582092,0.739316208019196,0.242164276531782,4.21572920021919e-06,0.00620583441730979,0.119900133123207,0.334770859740535,9,0.00133832761070643,0.390420366055679,0.172970660753348
