GSE,CONTROL,COPD,COUNTRY,SUBMISSION_DATE,PLATFORM,NUM_GENES
GSE27597,16,48,USA,Mar 01 2011,GPL5175,7733
GSE106986,5,14,Germany,Nov 16 2017,GPL13497,21690
GSE37768,20,18,Spain,May 04 2012,GPL570,23521
GSE57148,91,96,South Korea,Apr 28 2014,GPL11154,25288
GSE47460,91,145,USA,May 29 2013,GPL14550,15181
GSE38974,9,23,USA,Jun 27 2012,GPL4133,19750
GSE8581,19,16,USA,"Jul 12 2007,Jul 13 2007,Jul 17 2007,Jul 20 2007,Jul 24 2007,Jul 25 2007",GPL570,23521
GSE1650,12,18,USA,Aug 06 2004,GPL96,13516
GSE1122,5,10,USA,Mar 09 2004,GPL80,5615
GSE119040,4,6,Argentina,Aug 24 2018,GPL96,13516
GSE103174,16,37,Spain,Aug 28 2017,GPL13667,15021
GSE124180,15,6,USA,Dec 20 2018,GPL16791,52393
